sum.taxonomy,K0611_M8,K0613_E4,K0616_A1,K0754_E4,K0754_L7,K0755_B2,K0755_E4,K0756_A1,K0756_B2,K0756_C3,K0756_M8,K0757_G5,K0759_L7,K0759_M8,K0760_T9,K0772_T9,K0773_K6,K0773_L7,K0774_K6,K0774_T9,K0775_B2,K0775_C3,K0775_G5,K0775_M8,K0777_L7,K0778_B2,K0779_B2,K0779_L7,K0779_M8,K0779_T9,K0780_G5,K0780_K6,K0833_B2,K0833_C3,K0833_E4,K0834_G5,K0835_K6,K0835_T9,K0836_E4,K0837_E4,K0838_C3,K0838_L7,K0838_T9,K0839_A1,K0839_L7,K0840_C3,K0613_L7,K0776_T9
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Lentimicrobiaceae;Lentimicrobium;Lentimicrobium saccharophilum,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Bacteria;Bacteroidetes;NA;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Rhodothermus;Rhodothermus marinus,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,15,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Flexilinea;Flexilinea flocculi,0,0,0,1,0,2,0,0,0,0,1,0,1,0,2,1,0,3,0,0,0,2,0,1,0,0,2,0,0,0,1,0,2,0,2,1,0,0,0,0,0,8,3,0,0,1,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Gracilibacillus;,0,0,0,0,0,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium 53-4c,0,0,0,1,0,6,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;Gemmata sp. Io1-6,0,0,0,1,1,0,0,1,1,1,2,0,1,0,0,1,2,0,1,0,3,1,1,0,2,0,2,0,0,1,1,1,0,0,0,1,3,1,0,1,0,1,3,0,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;NA;planctomycete DDSe3016,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;NA;;NA;Alphaproteobacteria bacterium,0,0,0,0,4,0,0,0,2,0,0,7,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;,0,2,0,0,1,0,0,9,0,0,0,0,0,0,0,2,2,2,0,0,4,0,3,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;NA;Comamonadaceae bacterium,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;NA;Desulfobacteraceae bacterium MCL-2018,0,0,1,1,0,2,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,3,0,1,1,0,3,0,0,2,7,1,0,2,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;NA;,1,0,0,1,1,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0,0
Eukaryota;Euglenida;NA;Euglenales;Euglenaceae;Euglena;Euglena carterae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;,0,0,0,2,0,7,0,0,0,0,5,0,4,0,0,0,0,0,0,0,2,3,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin5227,0,1,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Thermodesulfovibrio;Thermodesulfovibrio yellowstonii,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;alpha proteobacterium enrichment culture,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,2,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,8,1,1,3,4,0,0,0,2,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;magnetic coccus MP17,0,2,0,0,0,1,1,4,4,1,1,0,3,0,0,0,2,1,2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,1,0,0,3,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;NA;,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,4,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pelagibacterium;,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfotignum;,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;NA;Cellvibrionaceae bacterium,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
